police_force,Local authority,Ofsted region,Provision type,Sector,Places,Organisation which owns the provider
Derbyshire,derby,East Midlands,children's home,Private,2.0,5ab Care Ltd
Derbyshire,derby,East Midlands,children's home,Private,5.0,Blue Mountain Homes Ltd
Derbyshire,derby,East Midlands,children's home,Private,4.0,Blue Mountain Homes Ltd
Derbyshire,derby,East Midlands,children's home,Private,4.0,Blue Mountain Homes Ltd
Derbyshire,derby,East Midlands,children's home,Local Authority,5.0,Derby City Council
Derbyshire,derby,East Midlands,children's home,Local Authority,6.0,Derby City Council
Derbyshire,derby,East Midlands,children's home,Local Authority,10.0,Derby City Council
Derbyshire,derby,East Midlands,children's home,Local Authority,5.0,Derby City Council
Derbyshire,derby,East Midlands,children's home,Local Authority,5.0,Derby City Council
Derbyshire,derby,East Midlands,children's home,Local Authority,6.0,Derby City Council
Derbyshire,derby,East Midlands,children's home,Private,5.0,Esland North Limited
Derbyshire,derby,East Midlands,children's home,Private,4.0,Haven Care Group Ltd
Derbyshire,derby,East Midlands,children's home,Private,4.0,Haven Care Group Ltd
Derbyshire,derby,East Midlands,children's home,Private,5.0,Homes 2 Inspire Limited
Derbyshire,derby,East Midlands,children's home,Private,3.0,Platform Childcare Ltd
Derbyshire,derby,East Midlands,children's home,Private,3.0,Sunlight Children's Care Limited
Derbyshire,derbyshire,East Midlands,children's home,Private,8.0,Arnfield Care Limited
Derbyshire,derbyshire,East Midlands,children's home,Private,7.0,Arnfield Care Limited
Derbyshire,derbyshire,East Midlands,children's home,Private,4.0,Ashwood Children's Care Home Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,4.0,Ashwood Children's Care Home Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,1.0,Blue Mountain Homes Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,3.0,Blue Mountain Homes Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,4.0,Blue Mountain Homes Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,2.0,Blue Mountain Homes Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,3.0,Blue Mountain Homes Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,3.0,Blue Mountain Homes Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,4.0,Blue Mountain Homes Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,5.0,Cambian Childcare Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,4.0,Care 4 Every Child Limited
Derbyshire,derbyshire,East Midlands,children's home,Private,1.0,Clouds Children's Care Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,3.0,Clouds Children's Care Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,1.0,Consistent Quality Support Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,2.0,Consistent Quality Support Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,8.0,Country Care Childrens Homes Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,2.0,DMR Services Ltd
Derbyshire,derbyshire,East Midlands,children's home,Local Authority,4.0,Derbyshire County Council
Derbyshire,derbyshire,East Midlands,children's home,Local Authority,5.0,Derbyshire County Council
Derbyshire,derbyshire,East Midlands,children's home,Local Authority,6.0,Derbyshire County Council
Derbyshire,derbyshire,East Midlands,children's home,Local Authority,8.0,Derbyshire County Council
Derbyshire,derbyshire,East Midlands,children's home,Local Authority,4.0,Derbyshire County Council
Derbyshire,derbyshire,East Midlands,children's home,Local Authority,6.0,Derbyshire County Council
Derbyshire,derbyshire,East Midlands,children's home,Local Authority,5.0,Derbyshire County Council
Derbyshire,derbyshire,East Midlands,children's home,Local Authority,6.0,Derbyshire County Council
Derbyshire,derbyshire,East Midlands,children's home,Local Authority,4.0,Derbyshire County Council
Derbyshire,derbyshire,East Midlands,children's home,Local Authority,6.0,Derbyshire County Council
Derbyshire,derbyshire,East Midlands,children's home,Local Authority,2.0,Derbyshire County Council
Derbyshire,derbyshire,East Midlands,children's home,Private,6.0,Enabling Futures Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,1.0,Enabling Futures Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,4.0,Esland North Limited
Derbyshire,derbyshire,East Midlands,children's home,Private,8.0,Heathcotes Cs Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,5.0,Homes 2 Inspire Limited
Derbyshire,derbyshire,East Midlands,children's home,Private,3.0,Horizon Care and Education Group Limited
Derbyshire,derbyshire,East Midlands,children's home,Local Authority,4.0,Nottinghamshire County Council
Derbyshire,derbyshire,East Midlands,children's home,Private,4.0,Pathways Residential Child Care Limited
Derbyshire,derbyshire,East Midlands,children's home,Private,3.0,Platform Childcare Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,3.0,Priory Education Services Limited
Derbyshire,derbyshire,East Midlands,children's home,Private,5.0,Priory Education Services Limited
Derbyshire,derbyshire,East Midlands,children's home,Private,7.0,Priory Education Services Limited
Derbyshire,derbyshire,East Midlands,children's home,Private,3.0,Resolute Care
Derbyshire,derbyshire,East Midlands,children's home,Private,3.0,Resolute Care
Derbyshire,derbyshire,East Midlands,children's home,Private,3.0,Rite Directions Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,3.0,Smooth Stone Care & Education Ltd
Humberside,lincolnshire,East Midlands,children's home,Private,15.0,Aspiration House Ltd
Humberside,lincolnshire,East Midlands,children's home,Private,2.0,Cambian Childcare Ltd
Humberside,lincolnshire,East Midlands,children's home,Private,3.0,Esland North Limited
Humberside,lincolnshire,East Midlands,children's home,Private,3.0,Esland North Limited
Humberside,lincolnshire,East Midlands,children's home,Private,6.0,Hexagon Care Services Limited
Humberside,lincolnshire,East Midlands,children's home,Private,3.0,Keys Care Ltd
Humberside,lincolnshire,East Midlands,children's home,Private,4.0,Keys Care Ltd
Humberside,lincolnshire,East Midlands,children's home,Private,4.0,Keys Direct Care Limited
Humberside,lincolnshire,East Midlands,children's home,Private,4.0,Keys Direct Care Limited
Humberside,lincolnshire,East Midlands,children's home,Private,5.0,Keys Direct Care Limited
Humberside,lincolnshire,East Midlands,children's home,Private,4.0,Keys Educational Services Limited
Humberside,lincolnshire,East Midlands,children's home,Private,3.0,Keys Educational Services Limited
Humberside,lincolnshire,East Midlands,children's home,Private,4.0,Knossington Grange School Ltd
Humberside,lincolnshire,East Midlands,children's home,Local Authority,6.0,Lincolnshire County Council
Humberside,lincolnshire,East Midlands,children's home,Local Authority,6.0,Lincolnshire County Council
Humberside,lincolnshire,East Midlands,children's home,Local Authority,11.0,Lincolnshire County Council
Humberside,lincolnshire,East Midlands,children's home,Local Authority,6.0,Lincolnshire County Council
Humberside,lincolnshire,East Midlands,children's home,Local Authority,7.0,Lincolnshire County Council
Humberside,lincolnshire,East Midlands,children's home,Local Authority,5.0,Lincolnshire County Council
Humberside,lincolnshire,East Midlands,children's home,Local Authority,6.0,Lincolnshire County Council
Humberside,lincolnshire,East Midlands,children's home,Private,5.0,Pasture View Nurturing Homes Ltd
Humberside,lincolnshire,East Midlands,children's home,Private,5.0,Pilgrim Extra Care Ltd
Humberside,lincolnshire,East Midlands,children's home,Private,4.0,The Place Young People's Company Limited
Humberside,lincolnshire,East Midlands,children's home,Private,6.0,Unique Care Homes Support Limited
Humberside,lincolnshire,East Midlands,children's home,Private,4.0,Unique Care Homes Support Limited
Leicestershire,leicester,East Midlands,children's home,Private,2.0,Casaegis Ltd
Leicestershire,leicester,East Midlands,children's home,Private,3.0,Changing Lives Care Group Ltd
Leicestershire,leicester,East Midlands,children's home,Private,6.0,Happy Children Home Limited
Leicestershire,leicester,East Midlands,children's home,Private,5.0,Ivie Lodge Ltd
Leicestershire,leicester,East Midlands,children's home,Local Authority,10.0,Leicester City Council
Leicestershire,leicester,East Midlands,children's home,Local Authority,7.0,Leicester City Council
Leicestershire,leicester,East Midlands,children's home,Local Authority,9.0,Leicester City Council
Leicestershire,leicester,East Midlands,children's home,Local Authority,6.0,Leicester City Council
Leicestershire,leicester,East Midlands,children's home,Local Authority,7.0,Leicester City Council
Leicestershire,leicester,East Midlands,children's home,Voluntary,3.0,Leicester Young Mens Christian Association (incorporated) (the)
Leicestershire,leicester,East Midlands,children's home,Private,4.0,Paramount Children Care Ltd
Leicestershire,leicester,East Midlands,children's home,Private,6.0,United Children's Services Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,7.0,Almond Care Children's Services Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,1.0,Blue Mountain Homes Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Brythan House Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,5.0,Cambian Childcare Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,6.0,Cambian Childcare Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Cambian Childcare Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Changing Lives Care Group Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,6.0,Compass Children's Homes Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Esland North Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Esland North Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Esland North Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Esland North Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Footsteps to Futures Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,2.0,G&S Caring for Children and Young People Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Happy Group (uk) Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Haven Care Group Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,Hexagon Care Services Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,Horizon Care and Education Group Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Horizon Care and Education Group Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Horizon Care and Education Group Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Horizon Care and Education Group Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,Horizon Care and Education Group Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Horizon Care and Education Group Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Horizon Care and Education Group Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Horizon Care and Education Group Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Horizon Care and Education Group Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Horizon Care and Education Group Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Inspirations Care Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Inspirations Leicestershire Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Inspirations Leicestershire Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,Inspirations Leicestershire Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Inspirations Leicestershire Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Keys Care Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,Keys Care Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,Platform Childcare Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,Platform Childcare Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,Platform Childcare Ltd
Leicestershire,leicestershire,East Midlands,children's home,Voluntary,8.0,Praxis Care
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Quantum Care UK Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,Resolute Care
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,T-Junction Children's Services Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,T-Junction Children's Services Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,The Place Young People's Company Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,The Place Young People's Company Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,2.0,The Place Young People's Company Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,The Place Young People's Company Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,Total Care Matters Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,3.0,United Children's Services Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,United Children's Services Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,United Children's Services Limited
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,Watermead Care Ltd
Leicestershire,leicestershire,East Midlands,children's home,Private,4.0,Witherslack Group Ltd
Leicestershire,rutland,East Midlands,children's home,Private,7.0,Hopscotch Solutions Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,2.0,Bttlr Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,2.0,Bttlr Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,2.0,Cambian Childcare Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,6.0,Cambian Childcare Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,4.0,Children & Adolescents Placement Provisions Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,4.0,Children & Adolescents Placement Provisions Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,2.0,Discovered Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,5.0,Discovered Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,3.0,Esland North Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,2.0,Esland North Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,3.0,GAC FAMILY SERVICES LIMITED
Northamptonshire,northamptonshire,East Midlands,children's home,Private,2.0,Good News Nwk Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,2.0,Good News Nwk Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,5.0,Homes 2 Inspire Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,5.0,Homes 2 Inspire Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,2.0,Homes 2 Inspire Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,5.0,Homes 2 Inspire Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,5.0,Homes 2 Inspire Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,5.0,Homes 2 Inspire Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,5.0,Homes 2 Inspire Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,1.0,Homes 2 Inspire Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,2.0,Homes 2 Inspire Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,5.0,Homes 2 Inspire Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,4.0,Keys Direct Care Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,4.0,Keys Direct Care Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,5.0,Living Life (UK) Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,5.0,Living Life (UK) Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Local Authority,5.0,Northamptonshire Childrens Trust Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Local Authority,5.0,Northamptonshire Childrens Trust Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Local Authority,2.0,Northamptonshire Childrens Trust Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Local Authority,4.0,Northamptonshire Childrens Trust Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Local Authority,6.0,Northamptonshire Childrens Trust Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Health Authority,12.0,Northamptonshire Healthcare NHS Foundation Trust
Northamptonshire,northamptonshire,East Midlands,children's home,Health Authority,6.0,Northamptonshire Healthcare NHS Foundation Trust
Northamptonshire,northamptonshire,East Midlands,children's home,Private,5.0,Platform Childcare Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,3.0,Protea Care Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,2.0,Protea Care Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,3.0,Semi-Independent House Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,3.0,T. How Homely Limited
Northamptonshire,northamptonshire,East Midlands,children's home,Private,4.0,Tlc Youth Care Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,3.0,Tlc Youth Care Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,4.0,Total Care Matters Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,3.0,Total Care Matters Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,3.0,Total Care Matters Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,3.0,Watermead Care Ltd
Northamptonshire,northamptonshire,East Midlands,children's home,Private,6.0,
Nottinghamshire,nottingham,East Midlands,children's home,Private,4.0,A&m Care Solutions Ltd - T/a Metropolitan Care Solutions
Nottinghamshire,nottingham,East Midlands,children's home,Private,3.0,A&m Care Solutions Ltd - T/a Metropolitan Care Solutions
Nottinghamshire,nottingham,East Midlands,children's home,Private,4.0,Bfg Together Limited
Nottinghamshire,nottingham,East Midlands,children's home,Private,6.0,Cambian Childcare Ltd
Nottinghamshire,nottingham,East Midlands,children's home,Private,3.0,Capstone Care Provider Limited
Nottinghamshire,nottingham,East Midlands,children's home,Private,6.0,Esland North Limited
Nottinghamshire,nottingham,East Midlands,children's home,Private,3.0,Grace Care Limited
Nottinghamshire,nottingham,East Midlands,children's home,Private,3.0,Homes 2 Inspire Limited
Nottinghamshire,nottingham,East Midlands,children's home,Private,5.0,Homes 2 Inspire Limited
Nottinghamshire,nottingham,East Midlands,children's home,Private,5.0,Homes 2 Inspire Limited
Nottinghamshire,nottingham,East Midlands,children's home,Private,6.0,Homes 2 Inspire Limited
Nottinghamshire,nottingham,East Midlands,children's home,Local Authority,2.0,Nottingham City Council
Nottinghamshire,nottingham,East Midlands,children's home,Local Authority,4.0,Nottingham City Council
Nottinghamshire,nottingham,East Midlands,children's home,Local Authority,2.0,Nottingham City Council
Nottinghamshire,nottingham,East Midlands,children's home,Local Authority,2.0,Nottingham City Council
Nottinghamshire,nottingham,East Midlands,children's home,Local Authority,2.0,Nottingham City Council
Nottinghamshire,nottingham,East Midlands,children's home,Local Authority,11.0,Nottingham City Council
Nottinghamshire,nottingham,East Midlands,children's home,Local Authority,3.0,Nottingham City Council
Nottinghamshire,nottingham,East Midlands,children's home,Local Authority,4.0,Nottingham City Council
Nottinghamshire,nottingham,East Midlands,children's home,Voluntary,2.0,Nottinghamshire YMCA
Nottinghamshire,nottingham,East Midlands,children's home,Private,4.0,Nottinghamshire YMCA
Nottinghamshire,nottingham,East Midlands,children's home,Voluntary,3.0,Nottinghamshire YMCA
Nottinghamshire,nottingham,East Midlands,children's home,Voluntary,2.0,Nottinghamshire YMCA
Nottinghamshire,nottingham,East Midlands,children's home,Private,3.0,Nottinghamshire YMCA
Nottinghamshire,nottingham,East Midlands,children's home,Private,4.0,Pathway Care Solutions Ltd
Nottinghamshire,nottingham,East Midlands,children's home,Private,4.0,Pathway Care Solutions Ltd
Nottinghamshire,nottingham,East Midlands,children's home,Private,4.0,Pathway Care Solutions Ltd 04004053
Nottinghamshire,nottingham,East Midlands,children's home,Private,3.0,Pathway Care Solutions Ltd 04004053
Nottinghamshire,nottingham,East Midlands,children's home,Private,3.0,Resolute Care
Nottinghamshire,nottingham,East Midlands,children's home,Private,4.0,Total Care Matters Ltd
Nottinghamshire,nottingham,East Midlands,children's home,Private,3.0,Total Care Matters Ltd
Nottinghamshire,nottingham,East Midlands,children's home,Private,3.0,Total Care Matters Ltd
Nottinghamshire,nottingham,East Midlands,children's home,Private,3.0,Wyncare Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,3.0,A&m Care Solutions Ltd - T/a Metropolitan Care Solutions
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,4.0,Abbey Green Therapeutic Children's Services Ltd
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,4.0,Abbey Green Therapeutic Children's Services Ltd
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,5.0,Absolute Childrens Services Ltd
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,1.0,Anchor Care and Education Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,5.0,Blue Mountain Homes Ltd
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,4.0,Blue Mountain Homes Ltd
Nottinghamshire,nottinghamshire,East Midlands,children's home,Voluntary,5.0,Caldecott Foundation Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,3.0,Capstone Care Provider Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,2.0,Castle Homes Care Ltd
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,4.0,Castle Homes Care Ltd
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,3.0,East Midlands Care Matters Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,2.0,Esland North Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,1.0,Esland North Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,3.0,Esland North Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,3.0,Footsteps to Futures Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,1.0,Footsteps to Futures Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,2.0,Homes 2 Inspire Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,2.0,Homes 2 Inspire Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,3.0,Homes 2 Inspire Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,2.0,Homes 2 Inspire Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,5.0,Homes 2 Inspire Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,2.0,Homes 2 Inspire Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,5.0,Homes 2 Inspire Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,2.0,Jigsaw Therapeutic Care Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,5.0,K&g Care Ltd
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,5.0,Keys BR Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,4.0,Keys Educational Services Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,6.0,Kisimul Group Ltd
Nottinghamshire,nottinghamshire,East Midlands,children's home,Local Authority,12.0,Nottinghamshire County Council
Nottinghamshire,nottinghamshire,East Midlands,children's home,Local Authority,16.0,Nottinghamshire County Council
Nottinghamshire,nottinghamshire,East Midlands,children's home,Local Authority,3.0,Nottinghamshire County Council
Nottinghamshire,nottinghamshire,East Midlands,children's home,Local Authority,4.0,Nottinghamshire County Council
Nottinghamshire,nottinghamshire,East Midlands,children's home,Local Authority,8.0,Nottinghamshire County Council
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,5.0,Pathway Care Solutions Ltd
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,2.0,Pathway Care Solutions Ltd
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,3.0,Pathway Care Solutions Ltd
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,5.0,Pathway Care Solutions Ltd
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,3.0,Pathway Care Solutions Ltd
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,4.0,Pathway Care Solutions Ltd 04004053
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,3.0,Pathway Care Solutions Ltd 04004053
Nottinghamshire,nottinghamshire,East Midlands,children's home,Voluntary,3.0,Shyne Together Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Voluntary,2.0,The Caldecott Foundation Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Voluntary,7.0,The Caldecott Foundation Limited
Nottinghamshire,nottinghamshire,East Midlands,children's home,Private,5.0,United Children's Services Limited
Bedfordshire,bedford,East of England,children's home,Local Authority,7.0,Bedford Borough Council
Bedfordshire,bedford,East of England,children's home,Local Authority,5.0,Bedford Borough Council
Bedfordshire,bedford,East of England,children's home,Private,4.0,Benjamin Uk Ltd
Bedfordshire,bedford,East of England,children's home,Private,4.0,Benjamin Uk Ltd
Bedfordshire,bedford,East of England,children's home,Private,4.0,Cambian Childcare Ltd
Bedfordshire,bedford,East of England,children's home,Private,4.0,Cambian Childcare Ltd
Bedfordshire,bedford,East of England,children's home,Private,3.0,Cornerways Care Ltd
Bedfordshire,bedford,East of England,children's home,Private,2.0,Esland North Limited
Bedfordshire,bedford,East of England,children's home,Private,5.0,Homes 2 Inspire Limited
Bedfordshire,bedford,East of England,children's home,Private,3.0,Oracle Care Limited
Bedfordshire,bedford,East of England,children's home,Private,3.0,Oracle Care Limited
Bedfordshire,bedford,East of England,children's home,Private,4.0,Pathways Care Group
Bedfordshire,bedford,East of England,children's home,Private,4.0,Platform Childcare Ltd
Bedfordshire,central bedfordshire,East of England,children's home,Private,4.0,Benjamin Uk Ltd
Bedfordshire,central bedfordshire,East of England,children's home,Private,4.0,Benjamin Uk Ltd
Bedfordshire,central bedfordshire,East of England,children's home,Private,4.0,Cambian Childcare Ltd
Bedfordshire,central bedfordshire,East of England,children's home,Local Authority,8.0,Central Bedfordshire Council
Bedfordshire,central bedfordshire,East of England,children's home,Local Authority,4.0,Central Bedfordshire Council
Bedfordshire,central bedfordshire,East of England,children's home,Local Authority,5.0,Central Bedfordshire Council
Bedfordshire,central bedfordshire,East of England,children's home,Private,5.0,Kattz (yh) Ltd
Bedfordshire,central bedfordshire,East of England,children's home,Voluntary,5.0,MacIntyre Care
Bedfordshire,central bedfordshire,East of England,children's home,Private,3.0,Oracle Care Limited
Bedfordshire,central bedfordshire,East of England,children's home,Private,3.0,Oracle Care Limited
Bedfordshire,central bedfordshire,East of England,children's home,Private,3.0,Oracle Care Limited
Bedfordshire,central bedfordshire,East of England,children's home,Private,4.0,Swan Children's Homes Ltd
Bedfordshire,central bedfordshire,East of England,children's home,Private,6.0,White Orchid Marston Moretaine Limited
Bedfordshire,luton,East of England,children's home,Private,3.0,247Bluebell Care LTD
Bedfordshire,luton,East of England,children's home,Private,3.0,5ab Care Ltd
Bedfordshire,luton,East of England,children's home,Private,7.0,Children and Family Services Limited
Bedfordshire,luton,East of England,children's home,Local Authority,5.0,Luton Borough Council
Cambridgeshire,cambridgeshire,East of England,children's home,Private,6.0,4d Care Ltd
Cambridgeshire,cambridgeshire,East of England,children's home,Voluntary,4.0,Break
Cambridgeshire,cambridgeshire,East of England,children's home,Private,3.0,Cambian Childcare Ltd
Cambridgeshire,cambridgeshire,East of England,children's home,Private,3.0,Cambian Childcare Ltd
Cambridgeshire,cambridgeshire,East of England,children's home,Private,11.0,Cambian Childcare Ltd
Cambridgeshire,cambridgeshire,East of England,children's home,Private,6.0,Cambian Childcare Ltd
Cambridgeshire,cambridgeshire,East of England,children's home,Local Authority,4.0,Cambridgeshire County Council
Cambridgeshire,cambridgeshire,East of England,children's home,Local Authority,8.0,Cambridgeshire County Council
Cambridgeshire,cambridgeshire,East of England,children's home,Local Authority,5.0,Cambridgeshire County Council
Cambridgeshire,cambridgeshire,East of England,children's home,Private,5.0,Castle Homes Care Ltd
Cambridgeshire,cambridgeshire,East of England,children's home,Private,5.0,Castle Homes Limited
Cambridgeshire,cambridgeshire,East of England,children's home,Private,3.0,Fonjock's Social Work Practice
